Barrio,Pob,Masc,E_media,Porc_men18,Porc_may18,Envej,Ind_dep,Porc_nacionalidad_extra,Porc_nacidos_ciudad,Porc_fueraCV,Porc_nacida_extranj,Porc_nacida_fuera_UE,Porc_18añosprimaria_menos,Porc_25anos_bach_mas,Rentamedia_ud_consumo,Rentamedia_hogar,Gini_renta,Porc_ingresos_salarios,Porc_ingresos_pensiones_prestaciones,Porc_otros_ingresos,Porc_ingresos_ud_consumo_debajo_60,Porc_ingresos_ud_consumo_debajo_10k,Ind_equipamiento,ind_demografico,Ind_socioecon,Ind_vulnerabilidad,Porc_parados,Muni_electorado,Muni_votos_leidos,Muni_porc_abstención,Muni_nulos,Muni_blanco,Muni_votos_candidaturas,Muni_PP,Muni_Compromis,Muni_PSOE,Muni_VOX,Muni_Podemos,Muni_Cs,Muni_Otros,Auto_electorado,Auto_votos_leidos,Auto_porc_abstención,Auto_nulo,Auto_blanco,Auto_votos_candiaturas,Auto_PP,Auro_PSOE,Auro_Compromís,Auto_VOX,Auto_Podemos,Auto_Cs,Auto_Otros,Gene_electorado,Gene_votos_leidos,Gene_porc_abs,Gene_nulos,Gene_validos,Gene_blanco,Gene_votos_candidaturas,Gene_PP,Gene_PSOE,Gene_Compromis,Gene_VOX,Gene_Otros
5.4. Tormos,8654,"92,53","44,14","15,15","18,60","143,49","31,57","21,35","47,20","16,29","28,58","24,59","18,37","46,92",17831,30170,"30,1","61,2","29,3","9,5","27,7","24,5","3,36","2,98","2,52","2,95","10,59","5898,00","4028,00","0,30","37,00","48,00","3943,00","1201,00","1165,00","788,00","493,00","112,00","85,00","99,00","4984,00","3509,00","29,60%","36,00","38,00","3435,00","1049,00","954,00","653,00","463,00","157,00","77,00","82,00","5838,00","4224,00","27,60%","39,00","4185,00","33,00","4152,00","1245,00","1433,00","824,00","576,00","74,00"
5.5. Sant Antoni,9821,"88,94","45,47","15,08","22,86","173,49","36,04","12,76","54,46","16,07","18,48","15,50","13,11","60,12",22791,37910,"29,8","59,4","30,9","9,7","16,3","14,1","3,25","2,92","3,17","3,11","8,63","7345,00","5358,00","0,30","49,00","54,00","5255,00","1871,00","1391,00","1015,00","653,00","119,00","112,00","94,00","7290,00","5325,00","27,00%","50,00","62,00","5213,00","1836,00","1306,00","952,00","682,00","250,00","102,00","85,00","7293,00","5679,00","22,10%","51,00","5628,00","45,00","5583,00","1982,00","1650,00","1099,00","760,00","92,00"
6.1. Exposicio,6853,"83,53","45,01","17,79","25,46","157,49","41,63","9,00","58,03","15,16","12,42","9,05","4,12","86,34",39165,66413,"34,0","46,8","24,4","28,9","8,0","7,0","3,35","2,82","4,50","3,56","5,78","5148,00","4289,00","0,20","14,00","32,00","4243,00","2662,00","404,00","282,00","700,00","44,00","105,00","46,00","5108,00","4265,00","16,50%","12,00","34,00","4219,00","2574,00","423,00","243,00","778,00","88,00","73,00","40,00","5112,00","4358,00","14,70%","21,00","4337,00","30,00","4307,00","2664,00","477,00","290,00","840,00","36,00"
6.2. Mestalla,14623,"86,42","44,37","16,65","22,37","152,00","37,09","13,09","51,03","16,75","18,08","14,81","7,51","76,22",30335,50226,"33,2","54,7","23,1","22,3","13,7","12,1","2,91","2,98","3,94","3,28","6,43","10669,00","8347,00","0,20","36,00","93,00","8218,00","4099,00","1470,00","998,00","1090,00","127,00","300,00","134,00","10577,00","8295,00","21,60%","47,00","100,00","8148,00","4048,00","1379,00","936,00","1163,00","255,00","238,00","129,00","10576,00","8723,00","17,50%","61,00","8662,00","76,00","8586,00","4320,00","1738,00","1154,00","1284,00","90,00"
6.3. Jaume Roig,6451,"84,95","44,36","19,38","25,53","151,38","42,40","7,32","61,08","16,94","11,24","8,23","4,65","88,62",39227,69056,"32,7","44,6","24,0","31,4","7,6","6,5","2,88","2,45","4,44","3,26","5,25","4834,00","4046,00","0,20","10,00","29,00","4007,00","2492,00","445,00","330,00","541,00","19,00","145,00","35,00","4794,00","4014,00","16,30%","13,00","32,00","3969,00","2431,00","470,00","249,00","613,00","74,00","104,00","28,00","4813,00","4130,00","14,20%","10,00","4120,00","37,00","4083,00","2520,00","521,00","307,00","709,00","26,00"
6.4. Ciutat Universitaria,2753,"83,41","43,96","17,73","24,48","156,74","40,10","11,30","55,90","16,09","14,89","11,73","3,97","87,10",31085,52435,"30,2","51,1","27,1","21,8","9,3","8,5","2,93","2,94","4,25","3,37","4,83","2010,00","1659,00","0,20","10,00","13,00","1636,00","890,00","248,00","165,00","209,00","22,00","70,00","32,00","1554,00","1274,00","18,00%","8,00","7,00","1259,00","692,00","171,00","113,00","182,00","38,00","39,00","24,00","2011,00","1696,00","15,70%","6,00","1690,00","14,00","1676,00","912,00","307,00","177,00","257,00","23,00"
7.1. Nou Moles,26527,"87,97","45,64","13,83","21,76","180,80","33,80","20,26","45,69","16,02","29,23","26,15","16,13","51,03",18973,31898,"31,4","58,7","31,8","9,6","25,5","22,6","3,28","2,65","2,76","2,90","9,24","18584,00","12952,00","0,30","128,00","101,00","12723,00","4433,00","3111,00","2758,00","1452,00","305,00","358,00","306,00","18439,00","12876,00","30,20%","139,00","108,00","12629,00","4297,00","3494,00","2128,00","1540,00","599,00","268,00","303,00","19085,00","13541,00","29,00%","147,00","13394,00","100,00","13294,00","4564,00","4289,00","2503,00","1720,00","218,00"
7.2. Soternes,4880,"88,49","46,21","14,57","22,42","182,94","34,67","17,99","44,96","18,89","24,98","21,84","17,15","47,62",18636,30617,"29,3","61,3","31,0","7,8","22,7","19,1","3,04","2,75","2,44","2,74","10,91","3473,00","2367,00","0,30","20,00","29,00","2318,00","769,00","517,00","561,00","316,00","67,00","38,00","50,00","3453,00","2354,00","31,80%","21,00","30,00","2303,00","739,00","681,00","360,00","333,00","114,00","27,00","49,00","3453,00","2486,00","28,00%","19,00","2467,00","15,00","2452,00","844,00","810,00","420,00","339,00","39,00"
7.3. Tres Forques,9556,"93,36","44,43","15,55","20,31","149,77","33,87","30,77","38,81","14,11","39,72","36,02","27,19","35,36",14971,25682,"30,1","57,0","36,7","6,3","37,1","32,7","3,54","2,91","1,91","2,78","11,69","5651,00","3429,00","0,40","32,00","28,00","3369,00","1057,00","755,00","862,00","470,00","95,00","36,00","94,00","5602,00","3417,00","39,00%","26,00","28,00","3363,00","1028,00","1035,00","518,00","494,00","169,00","30,00","89,00","5605,00","3670,00","34,50%","26,00","3644,00","17,00","3627,00","1118,00","1291,00","630,00","509,00","79,00"
7.4. la Fontsanta,3649,"99,40","41,58","18,28","17,29","108,42","33,24","28,14","47,60","12,55","33,82","30,72","33,57","25,73",13315,23888,"31,2","54,6","41,1","4,3","43,1","38,6","3,61","3,15","1,56","2,77","14,77","2163,00","1183,00","0,50","7,00","13,00","1163,00","287,00","234,00","335,00","203,00","48,00","26,00","30,00","2152,00","1181,00","45,10%","10,00","10,00","1161,00","277,00","380,00","176,00","213,00","57,00","20,00","38,00","2156,00","1305,00","39,50%","10,00","1295,00","8,00","1287,00","316,00","528,00","200,00","219,00","24,00"
